名称,价格1,价格2,星级,评论数量,排名1,排名2,评论
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,公开版型号a1529 支持移动/联通双2g 双3g 双4g 只要不是电信用户，必选本款，电商竟然只有亚马逊有售
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,打游戏比较烫，散热不是很好，充电挺快的。程序运行速度满意，home键感觉松松的都不敢按。第二天就到了，满意！
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,1111111111很不错，用了很久了。
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,很耐用，特价买的，已经用了近两年。很不错
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,较少时候遇到卡慢现象，就是存储内存太小了
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,应该是正品吧，用了快一年了，速度依然很快
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,价格很实惠，值得购买，也比较贵，是正品！
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,是正品，很好用，iphone.就是好用呀
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,配送很快…手机全新未激活…5c真的很漂亮
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,给妈妈买的，买来专门学微信，进步中。谢谢
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,收货两天了 暂时没发现问题  是国行正品
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,很不错的手机，发货速度真是神速，很满意！
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,很不错，很好，蓝色，性价比很高，物流很快
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,第一次在亚马逊购物，非常不错，下次还得来
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,"刚上手,慢慢适应,比索尼的好用.反应快."
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,非常好用，网速快、功能齐、颜色也很喜欢。
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,物流快，2天就到了，未拆封，全新。很棒~
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,全新，一点电都没有，充了一会后才可以开机。未激活，电池100%。非常棒的一次电子类网购，一直在支持亚马逊。
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,有人用过，也就是激活过。
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,手机挺好的，没什么问题！
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,反正用着用着就坏了，售后说是硬件问题。不过好在是正品，也比较幸运，等了一个多星期售后顺利给我换了部新的。
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,感觉买来的时候屏幕有些黄点，但是屏幕超灵的，也未激活，还有保修一年，但是一摔我屏幕就裂了，但东西是不错。
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,苹果就是苹果，塑料机身手感也没有丝毫劣质的感觉，反而光感很柔和，颜色很高级，而且感觉现在用5C挺潮的。
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,不是太好，屏幕很容易坏。苹果手机垃圾～
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,唯一的缺陷就是要换电信卡，性价比很高的
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,屏幕底边竟然有一堆沿边的模糊稠状小点！
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,非常新，容量也大，足够各种下载，很好！
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,外观不错~~~帮同学买的~~~他很喜欢
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,很适合女孩子，送给老婆的礼物，很满意！
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,全新未拆封，是行货不错用到现在也很好用
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,应该是正品，好用又快速，就是等了好多天
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,屏幕左边按上去有点松松垮垮  有点担心
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,手机是正品，全新未激活，功能正在熟悉中
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,很好，A1529，很稳定，有时稍显发热
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,东西挺好的，是去年9月份成产的 还不错
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,是真品，绿色真好看！用着也很好！喜欢！
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,物流有点慢，手机倒是没什么损伤或其他。
Apple iPhone 5C(16G) 3G智能手机(白色 电信版),"￥1,592.77","￥1,592.77",平均 4.6 星,"1,560 条商品评论","1,710",499,13年双11买的，速度很快，而且很好看
